集团名称,集团类型,主管机构,牵头单位,成员名称,成员类型,黑色数据来源,成员数据来源,链接,其他备注
东莞市企石镇中心小学教育集团,基础教育,广东省，东莞市,东莞市企石镇中心小学,东莞市企石镇星光小学,小学,当地教育厅或政府公告,,,
东莞市企石镇中心小学教育集团,基础教育,广东省，东莞市,东莞市企石镇中心小学,东莞市企石盛龙小学,小学,当地教育厅或政府公告,,,
东莞市石龙第二中学教育集团,基础教育,广东省，东莞市,东莞市石龙第二中学,东莞市石龙镇爱联学校,中学,当地教育厅或政府公告,,,
东莞市石龙第二中学教育集团,基础教育,广东省，东莞市,东莞市石龙第二中学,东莞市石龙镇实验小学,小学,当地教育厅或政府公告,,,
东莞市石龙第二中学教育集团,基础教育,广东省，东莞市,东莞市石龙第二中学,韶关乐昌市沙坪镇中学,中学,当地教育厅或政府公告,,,
东莞市万江第二中学教育集团,基础教育,广东省，东莞市,东莞市万江第二中学,东莞市万江第一小学,小学,当地教育厅或政府公告,,,
东莞市万江第三中学教育集团,基础教育,广东省，东莞市,东莞市万江第三中学,东莞市万江实验小学,小学,当地教育厅或政府公告,,,
东莞市万江第三中学教育集团,基础教育,广东省，东莞市,东莞市万江第三中学,东莞市万江第三小学,小学,当地教育厅或政府公告,,,
东莞市南城阳光实验中学教育集团,基础教育,广东省，东莞市,东莞市南城阳光实验中学,东莞市南城第一初级中学,中学,当地教育厅或政府公告,,,
东莞市沙田实验中学教育集团,基础教育,广东省，东莞市,东莞市沙田实验中学,东莞市沙田镇中心小学,小学,当地教育厅或政府公告,,,
东莞市沙田实验中学教育集团,基础教育,广东省，东莞市,东莞市沙田实验中学,东莞市沙田镇第三小学,小学,当地教育厅或政府公告,,,
东莞市长安镇实验中学教育集团,基础教育,广东省，东莞市,东莞市长安镇实验中学,韶关市乳源中学,中学,当地教育厅或政府公告,,,
东莞市寮步中学教育集团,基础教育,广东省，东莞市,东莞市寮步中学,韶关市浈江区韶冶实验学校,中学,当地教育厅或政府公告,,,
东莞市寮步中学教育集团,基础教育,广东省，东莞市,东莞市寮步中学,韶关市浈江区犁市大为中学,中学,当地教育厅或政府公告,,,
东莞市莞城实验小学教育集团,基础教育,广东省，东莞市,东莞市莞城实验小学,揭东区第二小学,小学,当地教育厅或政府公告,,,
东莞市莞城建设小学教育集团,基础教育,广东省，东莞市,东莞市莞城建设小学,东莞市莞城运河小学,小学,当地教育厅或政府公告,,,
东莞市莞城步步高小学教育集团,基础教育,广东省，东莞市,东莞市莞城步步高小学,东莞市莞城阮涌小学,小学,当地教育厅或政府公告,,,
东莞市虎门镇怀德小学教育集团,基础教育,广东省，东莞市,东莞市虎门镇怀德小学,韶关市仁化县董塘中心小学,小学,当地教育厅或政府公告,,,
东莞市东城第一小学教育集团,基础教育,广东省，东莞市,东莞市东城第一小学,韶关市新丰县实验小学,小学,当地教育厅或政府公告,,,
东莞市万江第五小学教育集团,基础教育,广东省，东莞市,东莞市万江第五小学,东莞市万江第六小学,小学,当地教育厅或政府公告,,,
东莞市万江第五小学教育集团,基础教育,广东省，东莞市,东莞市万江第五小学,东莞市万江第八小学,小学,当地教育厅或政府公告,,,
东莞市南城西平片区教育集团,基础教育,广东省，东莞市,东莞市南城阳光第八小学,东莞市南城阳光第六小学,小学,当地教育厅或政府公告,,,
东莞市南城西平片区教育集团,基础教育,广东省，东莞市,东莞市南城阳光第八小学,东莞市南城阳光第九小学,小学,当地教育厅或政府公告,,,
东莞市麻涌镇大步实验小学教育集团,基础教育,广东省，东莞市,东莞市麻涌镇大步实验小学,东莞市麻涌镇第三小学,小学,当地教育厅或政府公告,,,
东莞市高埗镇西联小学教育集团,基础教育,广东省，东莞市,东莞市高埗镇西联小学,韶关市武江区田家炳沙湖绿洲小学,小学,当地教育厅或政府公告,,,
东莞市塘厦镇中心小学教育集团,基础教育,广东省，东莞市,东莞市塘厦镇中心小学,东莞市塘厦第二实验小学,小学,当地教育厅或政府公告,,,
东莞市塘厦镇中心小学教育集团,基础教育,广东省，东莞市,东莞市塘厦镇中心小学,韶关市始兴县顿岗镇中心小学,小学,当地教育厅或政府公告,,,
东莞市凤岗镇力行教育集团,基础教育,广东省，东莞市,东莞市凤岗镇镇田小学,东莞市凤岗镇雁田小学,小学,当地教育厅或政府公告,,,
东莞市凤岗镇兴贤教育集团,基础教育,广东省，东莞市,东莞市凤岗镇中心小学,东莞市凤岗镇实验小学,小学,当地教育厅或政府公告,,,
东莞市凤岗镇兴贤教育集团,基础教育,广东省，东莞市,东莞市凤岗镇中心小学,韶关市风度小学,小学,当地教育厅或政府公告,,,
东莞市常平镇中心小学教育集团,基础教育,广东省，东莞市,东莞市常平镇中心小学,东莞市常平镇桥梓小学,小学,当地教育厅或政府公告,,,
东莞市常平镇中心小学教育集团,基础教育,广东省，东莞市,东莞市常平镇中心小学,东莞市常平镇袁山贝小学,小学,当地教育厅或政府公告,,,
东莞市常平实验小学教育集团,基础教育,广东省，东莞市,东莞市常平实验小学,东莞市常平第二小学,小学,当地教育厅或政府公告,,,
东莞市石龙镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石龙镇中心幼儿园,东莞市石龙镇实验幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市石龙镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石龙镇中心幼儿园,东莞市石龙喜洋洋幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市石龙镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石龙镇中心幼儿园,东莞市石龙爱苗幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市石龙镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石龙镇中心幼儿园,东莞市石龙达达英才幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市石龙镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石龙镇中心幼儿园,东莞市石龙小明星幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市东城中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市东城中心幼儿园,东莞市东城第三幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市万江中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市万江中心幼儿园,东莞市万江金泰幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市万江中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市万江中心幼儿园,东莞市万江谷涌幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市南城中心幼儿园幼教集团,基础教育,广东省，东莞市,东莞市南城中心幼儿园,东莞市南城第一幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市南城中心幼儿园幼教集团,基础教育,广东省，东莞市,东莞市南城中心幼儿园,东莞市南城第二幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市望牛墩镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市望牛墩镇中心幼儿园,东莞市望牛墩镇第三幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市石碣镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石碣镇中心幼儿园,东莞市石碣镇实验幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市石碣镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石碣镇中心幼儿园,东莞市石碣小状元幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市石碣镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市石碣镇中心幼儿园,东莞市石碣新天天幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇中心幼儿园,东莞市道滘镇永庆幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇中心幼儿园,东莞市道滘博雅东方幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇中心幼儿园,东莞市道滘新城幼儿园,幼儿园,当地教育厅或政府公告,,,
东莞市道滘镇中心幼儿园教育集团,基础教育,广东省，东莞市,东莞市道滘镇中心幼儿园,东莞市道滘镇昌平幼儿园,幼儿园,当地教育厅或政府公告,,,
