学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
厦门大学嘉庚学院,4135013469,福建省教育厅,福建省,漳州市,本科,民办
福州大学至诚学院,4135013470,福建省教育厅,福建省,福州市,本科,民办
集美大学诚毅学院,4135013471,福建省教育厅,福建省,厦门市,本科,民办
福建师范大学协和学院,4135013472,福建省教育厅,福建省,福州市,本科,民办
福州外语外贸学院,4135013762,福建省教育厅,福建省,福州市,本科,民办
福建江夏学院,4135013763,福建省,福建省,福州市,本科,公办
泉州信息工程学院,4135013766,福建省教育厅,福建省,泉州市,本科,民办
福州理工学院,4135013773,福建省教育厅,福建省,福州市,本科,民办
福建农林大学金山学院,4135014046,福建省教育厅,福建省,福州市,本科,民办
福建技术师范学院,4135014683,福建省,福建省,福州市,本科,公办
福建船政交通职业学院,4135010866,福建省,福建省,福州市,专科,公办
漳州职业技术学院,4135011314,福建省,福建省,漳州市,专科,公办
闽西职业技术学院,4135011315,福建省,福建省,龙岩市,专科,公办
黎明职业大学,4135011317,福建省,福建省,泉州市,专科,公办
福建华南女子职业学院,4135011499,福建省教育厅,福建省,福州市,专科,民办
福州职业技术学院,4135011502,福建省,福建省,福州市,专科,公办
福建林业职业技术学院,4135012625,福建省,福建省,南平市,专科,公办
福建信息职业技术学院,4135012626,福建省,福建省,福州市,专科,公办
福建水利电力职业技术学院,4135012627,福建省,福建省,三明市,专科,公办
福建电力职业技术学院,4135012628,福建省,福建省,泉州市,专科,公办
厦门海洋职业技术学院,4135012629,福建省,福建省,厦门市,专科,公办
福建农业职业技术学院,4135012630,福建省,福建省,福州市,专科,公办
福建卫生职业技术学院,4135012633,福建省,福建省,福州市,专科,公办
泉州医学高等专科学校,4135012634,福建省,福建省,泉州市,专科,公办
福州英华职业学院,4135012708,福建省教育厅,福建省,福州市,专科,民办
泉州纺织服装职业学院,4135012711,福建省教育厅,福建省,泉州市,专科,民办
泉州华光职业学院,4135012927,福建省教育厅,福建省,泉州市,专科,民办
闽北职业技术学院,4135013764,福建省,福建省,南平市,专科,公办
福州黎明职业技术学院,4135013765,福建省教育厅,福建省,福州市,专科,民办
厦门演艺职业学院,4135013767,福建省教育厅,福建省,厦门市,专科,民办
厦门华天涉外职业技术学院,4135013768,福建省教育厅,福建省,厦门市,专科,民办
福州科技职业技术学院,4135013769,福建省教育厅,福建省,福州市,专科,民办
泉州经贸职业技术学院,4135013770,福建省,福建省,泉州市,专科,公办
福建对外经济贸易职业技术学院,4135013771,福建省,福建省,福州市,专科,公办
湄洲湾职业技术学院,4135013772,福建省,福建省,莆田市,专科,公办
福建生物工程职业技术学院,4135013969,福建省,福建省,福州市,专科,公办
福建艺术职业学院,4135013970,福建省,福建省,福州市,专科,公办
福建幼儿师范高等专科学校,4135013972,福建省,福建省,福州市,专科,公办
厦门城市职业学院,4135013973,福建省,福建省,厦门市,专科,公办
泉州工艺美术职业学院,4135013975,福建省,福建省,泉州市,专科,公办
三明医学科技职业学院,4135013976,福建省,福建省,三明市,专科,公办
宁德职业技术学院,4135013977,福建省,福建省,宁德市,专科,公办
福州软件职业技术学院,4135013978,福建省教育厅,福建省,福州市,专科,民办
厦门兴才职业技术学院,4135013979,福建省教育厅,福建省,厦门市,专科,民办
厦门软件职业技术学院,4135014059,福建省教育厅,福建省,厦门市,专科,民办
福建体育职业技术学院,4135014060,福建省,福建省,福州市,专科,公办
漳州城市职业学院,4135014110,福建省,福建省,漳州市,专科,公办
厦门南洋职业学院,4135014111,福建省教育厅,福建省,厦门市,专科,民办
厦门东海职业技术学院,4135014112,福建省教育厅,福建省,厦门市,专科,民办
漳州科技职业学院,4135014113,福建省教育厅,福建省,漳州市,专科,民办
漳州理工职业学院,4135014115,福建省教育厅,福建省,漳州市,专科,民办
武夷山职业学院,4135014116,福建省教育厅,福建省,南平市,专科,民办
漳州卫生职业学院,4135014117,福建省,福建省,漳州市,专科,公办
泉州海洋职业学院,4135014231,福建省教育厅,福建省,泉州市,专科,民办
泉州轻工职业学院,4135014232,福建省教育厅,福建省,泉州市,专科,民办
厦门安防科技职业学院,4135014257,福建省教育厅,福建省,厦门市,专科,民办
泉州幼儿师范高等专科学校,4135014331,福建省,福建省,泉州市,专科,公办
闽江师范高等专科学校,4135014490,福建省,福建省,福州市,专科,公办
泉州工程职业技术学院,4135014503,福建省教育厅,福建省,泉州市,专科,民办
福州墨尔本理工职业学院,4135016411,福建省教育厅,福建省,福州市,专科,中外合作办学
南昌大学,4136010403,江西省,江西省,南昌市,本科,公办
华东交通大学,4136010404,江西省,江西省,南昌市,本科,公办
东华理工大学,4136010405,江西省,江西省,抚州市,本科,公办
南昌航空大学,4136010406,江西省,江西省,南昌市,本科,公办
江西理工大学,4136010407,江西省,江西省,赣州市,本科,公办
景德镇陶瓷大学,4136010408,江西省,江西省,景德镇市,本科,公办
江西农业大学,4136010410,江西省,江西省,南昌市,本科,公办
江西中医药大学,4136010412,江西省,江西省,南昌市,本科,公办
赣南医学院,4136010413,江西省,江西省,赣州市,本科,公办
江西师范大学,4136010414,江西省,江西省,南昌市,本科,公办
上饶师范学院,4136010416,江西省,江西省,上饶市,本科,公办
宜春学院,4136010417,江西省,江西省,宜春市,本科,公办
赣南师范大学,4136010418,江西省,江西省,赣州市,本科,公办
井冈山大学,4136010419,江西省,江西省,吉安市,本科,公办
江西财经大学,4136010421,江西省,江西省,南昌市,本科,公办
江西科技学院,4136010846,江西省教育厅,江西省,南昌市,本科,民办
景德镇学院,4136010894,江西省,江西省,景德镇市,本科,公办
萍乡学院,4136010895,江西省,江西省,萍乡市,本科,公办
江西科技师范大学,4136011318,江西省,江西省,南昌市,本科,公办
南昌工程学院,4136011319,江西省,江西省,南昌市,本科,公办
江西警察学院,4136011504,江西省,江西省,南昌市,本科,公办
新余学院,4136011508,江西省,江西省,新余市,本科,公办
九江学院,4136011843,江西省,江西省,九江市,本科,公办
江西工程学院,4136012766,江西省教育厅,江西省,新余市,本科,民办
南昌理工学院,4136012795,江西省教育厅,江西省,南昌市,本科,民办
江西应用科技学院,4136012938,江西省教育厅,江西省,南昌市,本科,民办
江西服装学院,4136013418,江西省教育厅,江西省,南昌市,本科,民办
南昌职业大学,4136013420,江西省教育厅,江西省,南昌市,本科,民办
南昌工学院,4136013421,江西省教育厅,江西省,南昌市,本科,民办
南昌大学科学技术学院,4136013429,江西省教育厅,江西省,南昌市,本科,民办
南昌大学共青学院,4136013430,江西省教育厅,江西省,九江市,本科,民办
南昌交通学院,4136013431,江西省教育厅,江西省,南昌市,本科,民办
赣东学院,4136013432,江西省,江西省,抚州市,本科,公办
南昌航空大学科技学院,4136013433,江西省教育厅,江西省,南昌市,本科,民办
赣南科技学院,4136013434,江西省,江西省,赣州市,本科,公办
景德镇艺术职业大学,4136013435,江西省教育厅,江西省,景德镇市,本科,民办
江西农业大学南昌商学院,4136013436,江西省教育厅,江西省,南昌市,本科,民办
南昌医学院,4136013437,江西省,江西省,南昌市,本科,公办
江西师范大学科学技术学院,4136013438,江西省教育厅,江西省,南昌市,本科,民办
赣南师范大学科技学院,4136013439,江西省教育厅,江西省,赣州市,本科,民办
