学校名称,所在城市,人工补全记录,数据源,备注
湛江市业余大学,,LJJ_20221213,,
广东省国防工业职工大学,,LJJ_20221213,,
汕头市业余大学,,LJJ_20221213,,
韶关市职工大学,,LJJ_20221213,,
广州市公安管理干部学院,,LJJ_20221213,,
广东省公安司法管理干部学院,,LJJ_20221213,,
广东开放大学,,LJJ_20221213,,
广东新华教育学院,,LJJ_20221213,,
广东省职工体育运动技术学院,,LJJ_20221213,,
广东社会科学大学,,LJJ_20221213,,
广州开放大学,,LJJ_20221213,,
深圳开放大学,,LJJ_20221213,,
桂林市职工大学,,LJJ_20221213,,
广西教育学院,,LJJ_20221213,,
广西开放大学,,LJJ_20221213,,
广西政法管理干部学院,,LJJ_20221213,,
海南开放大学,,LJJ_20221213,,
四川科技职工大学,,LJJ_20221213,,
中国工程物理研究院职工工学院,,LJJ_20221213,,
国营涪江机器厂职工大学,,LJJ_20221213,,
成都冶金职工大学,,LJJ_20221213,,
第五冶金建设公司职工大学,,LJJ_20221213,,
成都工业职工大学,,LJJ_20221213,,
四川省化工职工大学,,LJJ_20221213,,
中国科学院成都分院职工大学,,LJJ_20221213,,
广元职工医学院,,LJJ_20221213,,
南充市职工大学,,LJJ_20221213,,
四川开放大学,,LJJ_20221213,,
成都市职工大学,,LJJ_20221213,,
成都开放大学,,LJJ_20221213,,
贵州铝厂职工大学,,LJJ_20221213,,
贵州机械工业职工大学,,LJJ_20221213,,
贵州开放大学,,LJJ_20221213,,
云南开放大学,,LJJ_20221213,,
陕西航天职工大学,,LJJ_20221213,,
西安航空职工大学,,LJJ_20221213,,
西安飞机工业公司职工工学院,,LJJ_20221213,,
陕西兵器工业职工大学,,LJJ_20221213,,
西北电业职工大学,,LJJ_20221213,,
西安铁路工程职工大学,,LJJ_20221213,,
西安电力机械制造公司机电学院,,,,
陕西省建筑工程总公司职工大学,,LJJ_20221213,,
西安市职工大学,,LJJ_20221213,,
宝鸡市职工大学,,LJJ_20221213,,
陕西省宝鸡教育学院,,LJJ_20221213,,
陕西开放大学,,LJJ_20221213,,
陕西工运学院,,LJJ_20221213,,
西安开放大学,,LJJ_20221213,,
兰州铁路工程职工大学,,LJJ_20221213,,
甘肃核工业职工大学,,LJJ_20221213,,
银光化学材料厂职工大学,,LJJ_20221213,,
甘肃开放大学,,LJJ_20221213,,
青海省联合职工大学,,LJJ_20221213,,
青海开放大学,,LJJ_20221213,,
宁夏开放大学,,LJJ_20221213,,
新疆生产建设兵团开放大学,,LJJ_20221213,,
新疆开放大学,,LJJ_20221213,,
喀什教育学院,,LJJ_20221213,,
新疆生产建设兵团教育学院,,LJJ_20221213,,
和田地区教育学院,,LJJ_20221213,,
阿克苏教育学院,,LJJ_20221213,,
