学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质,985工程_加入时间,985工程_入选批次,985工程_共建部门,985工程_期数,985工程_协议签署时间,985工程_实力梯队,双一流建设,双一流建设_第一轮,双一流建设_第一轮_类别,双一流建设_第二轮,双一流建设_第二轮_学科名单,骨干高职,骨干高职_重点建设专业,示范性高职,示范性高职_重点建设专业,教育部直属,中央部委直属,强基计划,双高计划,学校类别,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程,预算总收入（亿元，2022年）,本年度收入（亿元，2022年）,财政拨款数（亿元，2022年）,财政拨款占比（2022年）,人工补全记录
北京工商大学,4111010011.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1999.0,北京市海淀区阜成路33号,http://www.btbu.edu.cn/,北工商,,1245.0,0.0,0.0,15.8,14.61,,,
北京服装学院,4111010012.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1959.0,"樱花园校区：北京市朝阳区樱花园东街甲2号,芍药居校区：北京市朝阳区芍药居甲1号",http://www.bift.edu.cn/,北服,“北京纺织工学院”，“北京化学纤维工学院”,600.0,0.0,0.0,7.2,6.47,,,
北京邮电大学,4111010013.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,信息与通信工程、计算机科学与技术,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1955.0,北京市西土城路10号,http://www.bupt.edu.cn,"bupt,北邮",北京邮电学院,693.0,0.0,1.0,45.13,26.37,10.47,0.2321,
北京印刷学院,4111010015.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1958.0,北京市大兴区兴华大街（二段）1号,http://www.bigc.edu.cn/,"北印,BIGC",文化学院印刷系,325.0,0.0,0.0,6.43,5.73,,,
北京建筑大学,4111010016.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1907.0,"西城校区：北京市西城区展览馆路1号,大兴校区：北京市大兴区永源路15号",http://www.bucea.edu.cn/,"北建大,BUCEA",北京建筑工程学院,919.0,0.0,0.0,10.91,8.57,,,
北京石油化工学院,4111010017.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1978.0,北京市大兴区黄村镇清源北路19号,http://www.bipt.edu.cn/,"北石化,BIPT",,466.0,0.0,0.0,6.47,6.3,,,
北京电子科技学院,4111010018.0,中央办公厅,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,理工类,1947.0,北京市丰台区富丰路7号,http://www.besti.edu.cn/,电科院,,140.0,0.0,0.0,,,,,
中国农业大学,4111010019.0,教育部,北京市,北京市,本科,公办,2004年9月,首期第二批共26所,教育部、北京市、农业部,二期,2004,5.0,1.0,1.0,A类,1.0,生物学、农业工程、食品科学与工程、作物学、农业资源与环境、植物保护、畜牧学、兽医学、草学,0.0,,0.0,,1.0,0.0,1.0,0.0,农林类,1905.0,北京市海淀区清华东路17号,https://www.cau.edu.cn/,"cau,中国农大",,1887.0,1.0,1.0,63.47,45.73,16.17,0.2548,
北京农学院,4111010020.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,农林类,1956.0,北京市昌平区回龙观镇北农路7号,https://www.bua.edu.cn/,"北农,BUA",,1000.0,0.0,0.0,5.77,5.66,,,
北京林业大学,4111010022.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,风景园林学、林学,0.0,,0.0,,1.0,0.0,0.0,0.0,农林类,1952.0,北京市海淀区清华东路35号,http://www.bjfu.edu.cn/,北林,,13176.0,0.0,1.0,24.66,15.56,7.65,0.3102,
北京协和医学院,4111010023.0,国家卫生健康委员会,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,生物学、生物医学工程、临床医学、公共卫生与预防医学、药学,0.0,,0.0,,0.0,1.0,0.0,0.0,医药类,1917.0,北京市东城区东单三条9号,http://www.pumc.edu.cn,"清华大学医学部,协和医学院",清华大学医学部,0.0,0.0,0.0,,,,,
首都医科大学,4111010025.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,医药类,1960.0,北京市丰台区右安门外西头条10号,http://www.ccmu.edu.cn/,首医,,3687.0,0.0,0.0,22.03,15.39,,,
北京中医药大学,4111010026.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,中医学、中西医结合、中药学,0.0,,0.0,,1.0,0.0,0.0,0.0,医药类,1956.0,北京市朝阳区北三环东路11号,http://www.bucm.edu.cn/,"北京中医,北中医",,1625.0,0.0,1.0,32.61,27.53,9.25,0.2837,
北京师范大学,4111010027.0,教育部,北京市,北京市,本科,公办,2002年8月,首期第二批共26所,教育部、北京市,一期,2002.8,4.0,1.0,1.0,A类,1.0,哲学、教育学、心理学、中国语言文学、外国语言文学、中国史、数学、地理学、系统科学、生态学、环境科学与工程、戏剧与影视学,0.0,,0.0,,1.0,0.0,1.0,0.0,师范类,1902.0,北京市新街口外大街19号,http://www.bnu.edu.cn,"bnu,北师大,北师",,1191.0,1.0,1.0,98.97,71.57,24.23,0.2448,
首都师范大学,4111010028.0,北京市,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,数学,0.0,,0.0,,0.0,0.0,0.0,0.0,师范类,1954.0,北京市海淀区西三环北路105号,http://www.cnu.edu.cn/,"cnu,首师大",,1320.0,0.0,0.0,20.34,19.65,,,
首都体育学院,4111010029.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,体育类,1956.0,北京市海淀区北三环西路11号,https://www.cupes.edu.cn/,"首体院,CUPES",,380.0,0.0,0.0,3.93,3.63,,,
北京外国语大学,4111010030.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,外国语言文学,0.0,,0.0,,1.0,0.0,0.0,0.0,语言类,1941.0,北京市海淀区西三环北路2号,http://www.bfsu.edu.cn/,"北京外国语学院,北外,BFSU",,770.0,0.0,1.0,14.08,13.57,5.56,0.395,
北京第二外国语学院,4111010031.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,语言类,1964.0,北京市朝阳区定福庄南里1号,http://www.bisu.edu.cn,"BISU,北二外",,738.0,0.0,0.0,7.72,6.81,,,
北京语言大学,4111010032.0,教育部,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,语言类,1962.0,北京市海淀区学院路15号,http://www.blcu.edu.cn/,北语,,495.0,0.0,0.0,11.87,9.27,4.27,0.3594,
中国传媒大学,4111010033.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,新闻传播学、戏剧与影视学,0.0,,0.0,,1.0,0.0,0.0,0.0,综合类,1954.0,北京市朝阳区定福庄东街一号,http://www.cuc.edu.cn/,"传媒大学,中传,CUC,中国传媒",,696.0,0.0,1.0,26.73,20.68,7.86,0.2941,
中央财经大学,4111010034.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,应用经济学,0.0,,0.0,,1.0,0.0,0.0,0.0,财经类,1949.0,"南路校区：北京市海淀区学院南路39号,沙河校区：北京市昌平区沙河高教园区",http://www.cufe.edu.cn/,"央财,中央财大,中财大,CUFE",,1541.0,0.0,1.0,21.99,17.03,6.68,0.3039,
对外经济贸易大学,4111010036.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,应用经济学,0.0,,0.0,,1.0,0.0,0.0,0.0,财经类,1951.0,北京市朝阳区惠新东街10号,http://www.uibe.edu.cn/,"uibe,贸大,对外经贸大学",,513.0,0.0,1.0,19.08,15.95,6.58,0.3451,
北京物资学院,4111010037.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1980.0,北京市通州区富河大街321号,https://www.bwu.edu.cn/,物资学院,,600.0,0.0,0.0,5.35,5.17,,,
首都经济贸易大学,4111010038.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,1956.0,"校本部：北京市丰台区花乡张家路口121号,红庙校区：北京市朝阳门外金台里2号",https://www.cueb.edu.cn/,"首都经贸大学,首经贸,首都经贸,首都经济贸易",,440.0,0.0,0.0,11.99,11.46,,,
中国消防救援学院,4111010039.0,应急管理部,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,军事类,2018.0,北京市昌平区南雁路4号,https://www.cfri.edu.cn,,,1100.0,0.0,0.0,,,,,
外交学院,4111010040.0,外交部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,政治学,0.0,,0.0,,0.0,1.0,0.0,0.0,语言类,1955.0,"展览馆路校区：北京市西城区展览馆路24号,沙河校区：北京市昌平区沙河高教园区",https://www.cfau.edu.cn/,,,528.0,0.0,0.0,4.38,3.21,,,
中国人民公安大学,4111010041.0,公安部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,公安学,0.0,,0.0,,0.0,1.0,0.0,0.0,政法类,1948.0,"木樨地校区：北京市西城区木樨地南里1号,团河校区：北京市大兴区团河路",https://www.ppsuc.edu.cn/,"公安大学,中国公安大学",,1200.0,0.0,0.0,6.16,6.16,,,
国际关系学院,4111010042.0,教育部,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,政法类,1949.0,北京市海淀区坡上村12号,http://www.uir.edu.cn,国关,,200.0,0.0,0.0,,,,,
北京体育大学,4111010043.0,国家体育总局,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,体育学,0.0,,0.0,,0.0,1.0,0.0,0.0,体育类,1953.0,北京市海淀区信息路48号,https://www.bsu.edu.cn/,"北体,北体大,BSU",,1133.0,0.0,1.0,10.05,9.59,,,
中央音乐学院,4111010045.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,音乐与舞蹈学,0.0,,0.0,,1.0,0.0,0.0,0.0,艺术类,1949.0,北京市西城区鲍家街43号,http://www.ccom.edu.cn/,"央音,CCOM",,82.0,0.0,1.0,7.97,6.78,3.54,0.4439,
中国音乐学院,4111010046.0,北京市,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,音乐与舞蹈学,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1964.0,北京市朝阳区安翔路1号,http://www.ccmusic.edu.cn/,,,60.0,0.0,0.0,11.59,5.84,,,
中央美术学院,4111010047.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,美术学、设计学,0.0,,0.0,,1.0,0.0,0.0,0.0,艺术类,1918.0,北京市朝阳区花家地南街8号,http://www.cafa.edu.cn,"央美,CAFA",,495.0,0.0,0.0,11.42,9.0,4.34,0.3798,
中央戏剧学院,4111010048.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,戏剧与影视学,0.0,,0.0,,1.0,0.0,0.0,0.0,艺术类,1950.0,"东城校区：北京市东城区东棉花胡同39号,昌平校区：北京市昌平区宏福中路4号",http://www.chntheatre.edu.cn,中戏,,345.0,0.0,0.0,4.03,3.86,3.09,0.7684,
中国戏曲学院,4111010049.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1950.0,北京市丰台区万泉寺400号,http://www.nacta.edu.cn/,"国戏,NACTA",,143.0,0.0,0.0,4.21,3.61,,,
北京电影学院,4111010050.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1950.0,北京市海淀区西土城路4号,http://www.bfa.edu.cn,北影,,772.0,0.0,0.0,10.78,7.42,,,
北京舞蹈学院,4111010051.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,1954.0,北京市海淀区万寿寺路一号,http://www.bda.edu.cn,北舞,,86.0,0.0,0.0,5.88,5.04,,,
中央民族大学,4111010052.0,国家民委,北京市,北京市,本科,公办,2004年,985二期,国家民族事务委员会、教育部、北京市,二期,2004,6.0,1.0,1.0,A类,1.0,民族学,0.0,,0.0,,0.0,1.0,1.0,0.0,民族类,1941.0,北京市海淀区中关村南大街27号,https://www.muc.edu.cn/,中央民大,,570.0,1.0,1.0,38.15,26.13,,,
中国政法大学,4111010053.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,法学,0.0,,0.0,,1.0,0.0,0.0,0.0,政法类,1952.0,"昌平校区：北京市昌平区府学路27号,海淀校区：北京市海淀区西土城路25号",http://www.cupl.edu.cn/,"法大,CUPL,中国政法,北京政法大学",,227.0,0.0,1.0,19.6,16.41,8.07,0.4119,
华北电力大学,4111010054.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,电气工程,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1958.0,北京市昌平区回龙观北农路2号,http://www.ncepu.edu.cn,"华北电力,华电,NCEPU",华北电力大学(北京),1600.0,0.0,1.0,41.97,30.78,14.35,0.342,
中华女子学院,4111011149.0,中华妇女联合会,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,语言类,1949.0,北京市朝阳区育慧东路1号,http://www.cwu.edu.cn/,,"中国妇女管理干部学院,全国妇联管理干部学院,全国妇联妇女干部学校",159.0,0.0,0.0,,,,,
北京信息科技大学,4111011232.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1937.0,北京市海淀区清河小营东路12号,https://www.bistu.edu.cn/,北信,北京机械工业学院,1700.0,0.0,0.0,13.57,10.85,,,
中国矿业大学（北京）,4111011413.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,矿业工程、安全科学与工程,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1909.0,"校本部：北京市海淀区学院路丁11号,沙河校区：北京市昌平区沙河高教园区南二街9号",https://www.cumtb.edu.cn/,"中国矿业大学北京,北京中国矿业大学,矿大北京,中国矿大（北京）,CUMTB",,555.0,0.0,1.0,22.69,11.84,6.4,0.2823,
中国石油大学（北京）,4111011414.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,地质资源与地质工程、石油与天然气工程,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1953.0,北京市昌平区府学路18号,http://www.cup.edu.cn/,"中国石油大学北京,北京中国石油大学,石油大学北京,北京石油大学",,700.0,0.0,1.0,44.86,24.53,8.94,0.1992,
中国地质大学（北京）,4111011415.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,地质学、地质资源与地质工程,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1952.0,北京市海淀区学院路29号,https://www.cugb.edu.cn/,"北京中国地质大学,中国地质大学北京,CUGB",,789.0,0.0,1.0,27.63,16.98,7.99,0.2892,
北京联合大学,4111011417.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1985.0,北京市朝阳区北四环东路97号,https://www.buu.edu.cn/,buu,,600.0,0.0,0.0,16.29,16.15,,,
北京城市学院,4111011418.0,北京市教委,北京市,北京市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1984.0,北京市海淀区北四环中路269号,http://www.bcu.edu.cn/,北城,,1000.0,0.0,0.0,,,,,
中国青年政治学院,4111011625.0,共青团中央,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,政法类,1985.0,北京市海淀区西三环北路25号,https://www.cyu.edu.cn/,中青院,,140.0,0.0,0.0,,,,,LJJ_20221213
首钢工学院,4111011831.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1978.0,北京市石景山区晋元庄路6号,http://www.sgit.edu.cn/,SGIT,北京钢铁学院分院,250.0,0.0,0.0,,,,,
中国劳动关系学院,4111012453.0,中华全国总工会,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,政法类,1949.0,"北京校区：北京市海淀区增光路45号,涿州校区：河北省涿州市",https://www.culr.edu.cn/,"中劳,劳关,劳动关系学院",中华全国总工会干部学校,630.0,0.0,0.0,2.24,1.98,,,
首都师范大学科德学院,4111013629.0,北京市教委,北京市,北京市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,艺术类,2004.0,北京市大兴区榆垡镇榆祥路10号,http://www.kdcnu.com,"首师大科德学院,科德学院",,500.0,0.0,0.0,,,,,
北京工商大学嘉华学院,4111013630.0,北京市教委,北京市,北京市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,财经类,2004.0,北京市通州区宋庄南路甲1号,http://www.canvard.net.cn/,嘉华学院,,540.0,0.0,0.0,,,,,
北京邮电大学世纪学院,4111013901.0,北京市教委,北京市,北京市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2005.0,北京市延庆区康庄镇西官路,http://www.ccbupt.cn/,,,500.0,0.0,0.0,,,,,
北京工业大学耿丹学院,4111013904.0,北京市教委,北京市,北京市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2005.0,北京市顺义区牛栏山镇牛富路3号,http://www.gengdan.cn/,"bjut,耿丹学院",,491.0,0.0,0.0,,,,,
北京警察学院,4111014019.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,政法类,1984.0,北京市昌平区南口镇南涧路11号,http://www.bjpc.edu.cn/,北京警院,,1138.0,0.0,0.0,2.7,2.67,,,
北京第二外国语学院中瑞酒店管理学院,4111014201.0,北京市教委,北京市,北京市,本科,民办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2008.0,北京市大兴区庞各庄镇工业区田园路11号,http://www.bhi.edu.cn,,中瑞酒店管理学院,300.0,0.0,0.0,,,,,
中国科学院大学,4111014430.0,中国科学院,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,化学、材料科学与工程,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,1978.0,"玉泉路校区：北京市玉泉路19号,雁栖湖校区：北京市怀柔区雁栖湖东路1号",https://www.ucas.ac.cn/,"国科大,UCAS",中国科学院研究生院,5022.0,0.0,0.0,45.3,39.68,,,
中国社会科学院大学,4111014596.0,中国社会科学院,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,综合类,2017.0,北京市房山区长于大街11号,https://www.ucass.edu.cn/,"中国社科大,UCASS",,741.0,0.0,0.0,,,,,
北京工业职业技术学院,4111010853.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,机电一体化技术、安全技术管理 、工程测量技术、通信技术,0.0,0.0,0.0,1.0,理工类,1956.0,北京市石景山区石门路368号,http://www.bgy.edu.cn,北工院,,360.0,0.0,0.0,,,,,
北京信息职业技术学院,4111010857.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,1.0,软件技术、电子信息工程技术、机电一体化技术,0.0,,0.0,0.0,0.0,1.0,理工类,1954.0,"校本部：北京市朝阳区芳园西路5号,东校区：北京市朝阳区东坝红松园北里甲1号",http://www.bitc.edu.cn,北信学院,,350.0,0.0,0.0,,,,,
北京电子科技职业学院,4111010858.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,数控技术、汽车制造与装配技术、机电一体化技术、计算机网络技术、生物技术及应用、多媒体设计与制作、金融保险,0.0,0.0,0.0,1.0,理工类,1958.0,北京市大兴区凉水河一街9号,https://www.bpi.edu.cn/,,,807.0,0.0,0.0,,,,,
北京京北职业技术学院,4111011090.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1984.0,北京市怀柔区小中富乐一区188号,http://www.jbzy.com.cn,北京京北职院,,186.0,0.0,0.0,,,,,
北京交通职业技术学院,4111011092.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1984.0,北京市昌平区昌平镇北京交通职业技术学院,http://www.jtxy.com.cn/,北交院,,305.0,0.0,0.0,,,,,
北京青年政治学院,4111011626.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,语言类,1956.0,北京市朝阳区花家地街9号,http://www.bjypc.edu.cn,北青院,,140.0,0.0,0.0,,,,,
北京农业职业学院,4111012448.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,园艺技术、畜牧兽医、绿色食品生产与检验,0.0,0.0,0.0,1.0,农林类,1958.0,"南校区：北京市房山区长阳镇稻田南里5号,北校区：北京市海淀区香山普安店29号",http://www.bvca.edu.cn/,北京农职院,,1218.0,0.0,0.0,,,,,
北京政法职业学院,4111012451.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,政法类,1982.0,北京市大兴区黄亦路（团河段）2号,http://www.bcpl.cn,北京政法职院,,536.0,0.0,0.0,,,,,
北京财贸职业学院,4111012561.0,北京市,北京市,北京市,专科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,1.0,连锁经营管理、 物流管理、导游（国际导游）,0.0,0.0,0.0,1.0,财经类,1958.0,"校本部：北京市通州区北关大街88号,涿州校区：河北省涿州市双塔区大石桥团结路8号,朝阳校区：北京市朝阳区水碓子东路15号,东城校区：北京市东城区东四南大街礼士胡同41号",http://www.bjczy.edu.cn,北京财贸职院,,446.0,0.0,0.0,,,,,
