学校名称,办学层次,学校性质,学校类别,主管部门,所在省份,所在城市,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程
广东理工职业学院,专科（高职）,公办,理工类,广东省,广东,广州市,2005,"校本部：广东省广州市越秀区下塘西路1号,中山校区：广东省中山市五桂山区丹桂路3号",http://www.gdpi.edu.cn/,,广东开放大学（广东理工职业学院）,1000,2,2
河源职业技术学院,专科（高职）,公办,综合类,广东省,广东,河源市,1930,广东省河源市东环路大学城,http://www.hypt.edu.cn/,,,839,2,2
阳江职业技术学院,专科（高职）,公办,综合类,广东省,广东,阳江市,2001,广东省阳江市江城区东山路213号,http://www.yjpt.edu.cn/,阳江职院,,750,2,2
广东岭南职业技术学院,专科（高职）,民办,综合类,广东省教育厅,广东,广州市,2001,"广州校区：广东省广州市天河区大观中路492号,清远校区：广东省清远市清城区东城街道大学东路6号",https://www.lnc.edu.cn/,"岭南职院,广州岭南职业技术学院",,1316,2,2
广东女子职业技术学院,专科（高职）,公办,综合类,广东省,广东,广州市,1981,广东省广州市番禺区市莲路南浦村段2号,http://www.gdfs.edu.cn/,广东女子学院,广东省妇女干部学校,216,2,2
汕尾职业技术学院,专科（高职）,公办,综合类,广东省,广东,汕尾市,2001,广东省汕尾市城区文德路,http://www.swvtc.cn/,汕尾职院,,291,2,2
广州现代信息工程职业技术学院,专科（高职）,民办,理工类,广东省教育厅,广东,广州市,2005,广东省广州市天河区珠吉路660号,http://www.gzmiec.edu.cn/,广州现代学院,,300,2,2
广州科技职业技术大学,普通本科,民办,综合类,广东省教育厅,广东,广州市,1607,"校本部：广东省广州市白云区广从九路1038号,茂名滨海校区:广东省茂名市电白区高地智慧城慧城三街8号大院",https://www.gkd.edu.cn/,广科大,广州科技职业技术学院,990,2,2
广州涉外经济职业技术学院,专科（高职）,民办,财经类,广东省教育厅,广东,广州市,2004,广东省广州市白云区沙太路大源北28号,https://www.gziec.edu.cn/,广州涉外经济学院,,1096,2,2
广东科学技术职业学院,专科（高职）,公办,综合类,广东省,广东,广州市,1985,"广州校区：广东省广州市天河区科华街351号,珠海校区：广东省珠海市金湾区珠海大道南侧65号",https://www.gdit.edu.cn/,"科干,广科",,2012,2,2
广东行政职业学院,专科（高职）,公办,综合类,广东省,广东,广州市,1985,广东省广州市花都区迎宾大道西28号,https://www.gdxzzy.edu.cn/,广东行政职院,,500,2,2
广州康大职业技术学院,专科（高职）,民办,综合类,广东省教育厅,广东,广州市,2003,广东省广州市黄埔区九龙镇康大教育园,https://www.kdvtc.edu.cn/,康大,,0,2,2
中国矿业大学（北京）,普通本科,公办,理工类,教育部,北京,北京市,1909,"校本部：北京市海淀区学院路丁11号,沙河校区：北京市昌平区沙河高教园区南二街9号",https://www.cumtb.edu.cn/,"中国矿业大学北京,北京中国矿业大学,矿大北京,中国矿大（北京）,CUMTB",,555,2,1
武汉科技大学,普通本科,公办,综合类,湖北省,湖北,武汉市,1898,"青山校区：湖北省武汉市青山区和平大道947号,黄家湖校区：湖北省武汉市洪山区青菱街黄家湖西路2号",http://www.wust.edu.cn/,"武汉科大,wust",武汉冶金科技大学,2571,2,2
长江工程职业技术学院,专科（高职）,公办,理工类,湖北省,湖北,武汉市,1959,湖北省武汉市江夏区文化大道9号,http://www.cjit.edu.cn/,长江工院,,540,2,2
重庆科技学院,普通本科,公办,理工类,重庆市,重庆,重庆市,1951,重庆市沙坪坝区大学城东路20号,http://www.cqust.edu.cn,"CQUST,重庆科技大学,重庆科技",,3500,2,2
上海商学院,普通本科,公办,财经类,上海市,上海,上海市,1950,"奉浦校区：上海市奉贤区奉浦大道123 号,交通路院区：上海市普陀区交通路1933号",https://www.sbs.edu.cn/,上商,,650,2,2
上海政法学院,普通本科,公办,政法类,上海市,上海,上海市,1984,上海市青浦区外青松公路7989号,http://www.shupl.edu.cn/,"上政,SHUPL",,1000,2,2
大庆师范学院,普通本科,公办,师范类,黑龙江省,黑龙江,大庆市,1965,黑龙江省大庆市让胡路区西佳路23号,http://www.dqsy.net,"大庆师院,大庆师范",,928,2,2
武汉铁路职业技术学院,专科（高职）,公办,理工类,湖北省,湖北,武汉市,1956,湖北省武汉市江夏区藏龙大道1号,http://www.wru.edu.cn,武铁,,700,2,2
吉林农业科技学院,普通本科,公办,农林类,吉林省,吉林,吉林市,1907,"九站校区：吉林省吉林市吉林经济技术开发区翰林路77号,左家校区：吉林省吉林市昌邑区左家自然保护区学府路1号",https://www.jlnku.edu.cn/,JLASTU,,2495,2,2
随州职业技术学院,专科（高职）,公办,理工类,湖北省,湖北,随州市,2002,湖北省随州市迎宾大道38号,http://www.szvtc.cn/,"随州职院,SZVTC,随职随大",,1300,2,2
武汉航海职业技术学院,专科（高职）,公办,综合类,湖北省,湖北,武汉市,1955,湖北省武汉市武昌区喻家湖148号,http://www.whhhxy.com/,武汉航院,,331,2,2
长沙南方职业学院,专科（高职）,民办,综合类,湖南省教育厅,湖南,长沙市,2000,湖南省长沙市岳麓区含浦科教园,http://www.nfdx.net/,,,500,2,2
重庆交通大学,普通本科,公办,理工类,重庆市,重庆,重庆市,1951,"重庆市南岸区学府大道66号,重庆市双福新区福星大道1号",http://www.cqjtu.edu.cn/,重庆交大,,3000,2,2
武汉警官职业学院,专科（高职）,公办,政法类,湖北省,湖北,武汉市,1983,湖北省武汉市东西湖区东吴大道1206号,http://www.whpa.cn,,,400,2,2
福建医科大学,普通本科,公办,医药类,福建省,福建,福州市,1937,"上街校区：福建省福州市大学新区学府北路1号,台江校区：福建省福州市台江区交通路88号",https://www.fjmu.edu.cn/,福建医大,,1550,2,2
福建中医药大学,普通本科,公办,医药类,福建省,福建,福州市,1958,"旗山校区：福建省福州市闽侯上街邱阳路1号,屏山校区：福建省福州市五四路282号",http://www.fjtcm.edu.cn/,"福建中医学院,福建中医药",福建中医学院,1030,2,2
蚌埠医学院,普通本科,公办,医药类,安徽省,安徽,蚌埠市,1958,安徽省蚌埠市东海大道2600号,http://www.bbmc.edu.cn,蚌医,,1760,2,2
阜阳师范大学,普通本科,公办,师范类,安徽省,安徽,阜阳市,1956,"西湖校区：安徽省阜阳市清河西路100号,清河校区：安徽省阜阳市清河东路741号",http://www.fynu.edu.cn/,阜师院,,1715,2,2
安庆师范大学,普通本科,公办,师范类,安徽省,安徽,安庆市,1897,"菱湖校区：安徽省安庆市迎江区菱湖南路128号 ,龙山校区：安徽省安庆市集贤北路1318号",http://www.aqnu.edu.cn/,安庆师大,安庆师范学院,2800,2,2
湖北理工学院,普通本科,公办,理工类,湖北省,湖北,黄石市,1975,湖北省黄石市桂林北路16号,http://www.hbpu.edu.cn/,"黄石理工,湖北理工大学",黄石理工学院,2190,2,2
湖北警官学院,普通本科,公办,政法类,湖北省,湖北,武汉市,1949,"北校区：湖北省武汉市硚口区南泥湾大道99号,南校区：湖北省武汉市硚口区解放大道86号",https://www.hbpa.edu.cn/,湖警,,512,2,2
长沙学院,普通本科,公办,综合类,湖南省,湖南,长沙市,1970,湖南省长沙市开福区洪山路98号,http://www.ccsu.cn/,长沙大学,,1970,2,2
广东金融学院,普通本科,公办,财经类,广东省,广东,广州市,1950,"校本部：广东省广州市天河区龙洞迎福路527号,肇庆校区：广东省肇庆市星湖石牌",https://www.gduf.edu.cn/,"广金,GDUF",,2300,2,2
右江民族医学院,普通本科,公办,医药类,广西壮族自治区,广西,百色市,1958,广西壮族自治区百色市城乡路98号,http://www.ymun.edu.cn/,右医,,1598,2,2
广西中医药大学,普通本科,公办,医药类,广西壮族自治区,广西,南宁市,1956,"明秀校区：广西壮族自治区南宁市西乡塘区明秀东路179号,仙葫校区：广西壮族自治区南宁市五合大道13号",http://www.gxtcmu.edu.cn,广西中医学院,广西中医学院,1311,2,2
河池学院,普通本科,公办,综合类,广西壮族自治区,广西,河池市,1951,广西壮族自治区宜州市龙江路42号,http://www.hcnu.edu.cn/,,,3600,2,2
