学校名称,工程科学类_带星号,工程科学类,社会科学类_带星号,社会科学类,生命科学类_带星号,生命科学类,人文科学类_带星号,人文科学类,自然科学类_带星号,自然科学类,办学特色强化类_带星号,办学特色强化类,国防军事类_带星号,国防军事类,科教融合类_带星号,科教融合类,区域振兴类_带星号,区域振兴类,师范类_带星号,师范类,统一战线工作、对外联络和政法类_带星号,统一战线工作、对外联络和政法类
中国人民解放军战略支援部队信息工程大学,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"北京协和医学院
（融合科研机构：中国医学科学院）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
国家纳米科学中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国船舶集团有限公司第七一九研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国地质科学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国航空研究院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国疾病预防控制中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国计量科学研究院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院大气物理研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"中国科学院大学
（融合科研机构：中国科学院半导体研究所、中国科学院化学研究所）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院地球环境研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院地球化学研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院地质与地球物理究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院高能物理研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院计算技术研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院上海应用物理究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中国科学院上海有机化学究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
